quarter,down,clock,def_score,first_down_gained,kick_yards,off_score,penalty_yards,return_yards,distance,drive_end_event,fumble_recovery,kick_result,special_teams_type,touchdown,off_timeouts_remaining,def_timeouts_remaining,yards_to_goal_line,offensive_win_loss,punt_outcome,yard_bin
2,4,4:02,3,,46.0,7,,,5,,,FAKE - DOWNED,PUNT,,3,3,48,L,Other,45
3,4,7:03,10,,35.0,14,,,8,,,FAKE - DOWNED,PUNT,,3,3,42,L,Other,40
3,4,1:58,14,,35.0,19,,,15,,,FAKE - DOWNED,PUNT,,2,3,37,W,Other,35
3,4,2:51,14,,35.0,13,,,7,,,FAKE - TOUCHBACK,PUNT,,3,2,41,W,Other,40
3,4,11:29,7,,49.0,16,,0.0,2,,,RECOVERED BY KICKING TEAM,PUNT,,3,3,79,L,Other,75
2,4,15:00,7,,28.0,7,,,5,,,FAKE - DOWNED,PUNT,,3,3,42,W,Other,40
1,4,4:08,0,,39.0,0,,,9,,,FAKE - DOWNED,PUNT,,2,2,45,L,Other,45
1,4,8:30,0,,55.0,7,,0.0,9,,,RECOVERED BY KICKING TEAM,PUNT,,3,3,70,L,Other,70
3,4,4:31,21,,47.0,20,,0.0,20,,,RECOVERED BY KICKING TEAM,PUNT,,3,3,70,W,Other,70
2,4,11:18,14,,40.0,7,-5.0,0.0,1,,,RECOVERED BY KICKING TEAM,PUNT,,2,3,56,L,Other,55
2,4,1:48,0,,39.0,27,,,4,,,FAKE - DOWNED,PUNT,,2,2,44,W,Other,40
1,4,0:58,0,,15.0,10,,,2,,,FAKE - DOWNED,PUNT,,3,2,41,W,Other,40
1,4,2:06,0,,41.0,3,-15.0,0.0,7,,,RECOVERED BY KICKING TEAM,PUNT,,2,3,67,W,Other,65
4,4,14:25,7,,49.0,19,,,1,,,FAKE - DOWNED,PUNT,,3,3,69,L,Other,65
4,4,4:54,22,,39.0,22,,8.0,1,,,FAKE - RETURNED,PUNT,,3,3,71,L,Other,70
3,4,2:41,24,,36.0,10,15.0,0.0,6,,,RECOVERED BY KICKING TEAM,PUNT,,1,3,66,L,Other,65
1,4,3:32,0,,22.0,0,,,6,,,FAKE - OUT OF BOUNDS,PUNT,,3,3,34,W,Other,30
1,4,6:54,7,,37.0,0,,,9,,,FAKE - TOUCHBACK,PUNT,,2,3,37,L,Other,35
3,4,3:33,7,,31.0,28,,,9,,,FAKE - DOWNED,PUNT,,2,3,36,W,Other,35
2,4,5:31,10,,41.0,21,,,17,,,FAKE - TOUCHBACK,PUNT,,2,2,41,L,Other,40
4,4,0:18,45,,25.0,45,,,10,,,FAKE - DOWNED,PUNT,,1,3,41,L,Other,40
2,4,3:06,7,,19.0,0,,0.0,5,,,FAKE - RETURNED,PUNT,,2,2,44,W,Other,40
2,4,9:37,9,,31.0,7,-3.0,0.0,6,,,RECOVERED BY KICKING TEAM,PUNT,,0,3,94,L,Other,90
2,4,7:12,15,,42.0,7,,-1.0,15,,,RECOVERED BY KICKING TEAM,PUNT,,0,3,80,L,Other,80
1,4,12:14,0,,34.0,0,,0.0,16,,,RECOVERED BY KICKING TEAM,PUNT,,3,3,94,L,Other,90
4,4,13:32,13,,26.0,10,,0.0,14,,,FAKE - RETURNED,PUNT,,2,2,36,W,Other,35
1,4,8:57,0,,43.0,0,,,5,,,FAKE - DOWNED,PUNT,,3,3,44,L,Other,40
2,4,0:10,0,,29.0,14,,,22,,,FAKE - DOWNED,PUNT,,0,1,51,W,Other,50
2,4,4:45,7,,45.0,10,,0.0,3,,,RECOVERED BY KICKING TEAM,PUNT,,3,3,76,L,Other,75
3,4,6:48,17,,44.0,21,,,8,,,FAKE - DOWNED,PUNT,,3,2,49,L,Other,45
2,4,4:26,0,,50.0,13,,,5,,,FAKE - DOWNED,PUNT,,1,3,77,W,Other,75
1,4,9:26,7,,37.0,0,,,10,,,FAKE - TOUCHBACK,PUNT,,3,3,37,L,Other,35
3,4,10:03,14,,41.0,14,,,7,,,FAKE - DOWNED,PUNT,,3,3,47,W,Other,45
2,4,9:14,0,,44.0,0,,,8,,,FAKE - DOWNED,PUNT,,3,3,45,W,Other,45
3,4,11:07,14,,20.0,13,,,9,,,FAKE - DOWNED,PUNT,,3,3,44,L,Other,40
3,4,0:19,49,,38.0,7,,,17,,,FAKE - DOWNED,PUNT,,3,3,44,L,Other,40
4,4,15:00,3,,40.0,28,,,14,,,FAKE - TOUCHBACK,PUNT,,3,2,40,W,Other,40
2,4,2:15,6,,24.0,0,,,11,,,FAKE - OUT OF BOUNDS,PUNT,,1,1,49,L,Other,45
3,4,3:54,20,,40.0,10,,,13,,,FAKE - DOWNED,PUNT,,3,3,42,L,Other,40
4,4,11:27,14,,38.0,31,2.0,,8,,,FAKE - DOWNED,PUNT,,3,3,42,W,Other,40
3,4,7:20,22,,16.0,16,,,9,,,FAKE - OUT OF BOUNDS,PUNT,,3,3,38,W,Other,35
4,4,2:54,7,,37.0,43,,0.0,5,,,RECOVERED BY KICKING TEAM,PUNT,,3,2,55,W,Other,55
2,4,14:10,7,,41.0,7,,,8,,,FAKE - DOWNED,PUNT,,3,3,46,W,Other,45
3,4,11:38,12,,39.0,28,,,6,,,FAKE - DOWNED,PUNT,,3,3,53,W,Other,50
4,4,3:04,16,,40.0,29,,,5,,,FAKE - TOUCHBACK,PUNT,,3,2,40,W,Other,40
